name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,CommonNameFlag,ngrams_science,ngrams_common
Ambystoma cingulatum,Amphibians,2,360636.3,1,5,3,1,2,0,33,0,0.1060415,-0.1223817
Rana muscosa,Amphibians,1,433417.9,1,3,3,2,1,0,63,0,-0.1638258,-0.122832
Sclerocactus wetlandicus,Plants,3,110815.2,1,8,2,2,2,1,25,0,-0.08149833,-0.09101411
Pelecanus occidentalis,Birds,4,1132465,NA,9,2,2,1,0,8,0,1.756486,1.112492
Assiminea pecos,Invertebrates,1,5557.019,1,5,3,1,2,0,10,0,-0.1412319,-0.1137871
Pleurobema perovatum,Invertebrates,1,52023.15,1,5,3,1,2,0,24,0,-0.06741885,-0.06541458
Pleurobema rubellum,Invertebrates,1,18089.87,1,5,3,1,2,0,24,0,-0.1638258,-0.122832
Pleurobema georgianum,Invertebrates,1,52969.03,1,5,3,1,2,0,24,0,-0.07233054,-0.0823434
Ptychobranchus greenii,Invertebrates,1,82527.64,1,8,2,2,2,0,6,1,-0.1455308,-0.07747393
Monardella viminea,Plants,UNK,70160.32,1,6,3,1,1,0,32,1,-0.1638258,-0.1016018
NA,Fishes,2,891251.2,1,3,3,2,1,1,21,0,0.04471107,-0.007515986
NA,Invertebrates,1,963611.9,1,2,3,2,2,0,NA,0,0.131015,-0.1104243
NA,Invertebrates,1,1182.344,1,9,2,2,1,0,16,0,-0.04939256,-0.1076026
NA,Plants,1,16907.53,1,2,3,2,2,0,5,0,-0.1267565,-0.1189461
NA,Plants,1,3433.528,1,6,3,1,1,1,1982,0,-0.1638258,-0.1205248
NA,Plants,1,4690.36,1,6,3,1,1,NA,29,1,-0.1638258,-0.121055
NA,Mammals,NA,118.2344,NA,6,3,1,1,0,NA,0,-0.1638258,-0.122832
NA,Mammals,NA,202062.7,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Mammals,NA,145074.8,1,9,2,2,1,0,NA,0,-0.1638258,-0.122832
NA,Mammals,NA,84407.57,1,3,3,2,1,1,NA,0,-0.1638258,-0.122832
NA,Birds,NA,1230436,1,3,3,2,1,1,NA,0,-0.1638258,-0.122832
NA,Birds,NA,2164454,1,2,3,2,2,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,198160.9,1,9,2,2,1,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,579113.5,3,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,92814.04,1,8,2,2,2,1,NA,0,-0.1638258,-0.122832
NA,Birds,NA,16552.82,1,3,3,2,1,1,NA,0,-0.1638258,-0.122832
NA,Birds,NA,36061.51,1,5,3,1,2,1,NA,0,-0.1638258,-0.122832
NA,Birds,NA,258163.7,1,2,3,2,2,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,795572.4,1,5,3,1,2,1,NA,0,-0.1638258,-0.122832
NA,Birds,NA,116047.1,1,6,3,1,1,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,19954.43,1,9,2,2,1,1,NA,0,-0.1638258,-0.122832
NA,Birds,NA,570673.9,1,2,3,2,2,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,709.4067,1,6,3,1,1,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,122235.5,1,2,3,2,2,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,8867.583,1,6,3,1,1,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,8867.583,1,3,3,2,1,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,591.1722,NA,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Birds,NA,384318.7,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Reptiles,NA,44337.92,1,14,1,2,2,1,NA,0,-0.1638258,-0.122832
NA,Reptiles,NA,14779.31,1,17,1,1,2,0,NA,0,-0.1638258,-0.122832
NA,Reptiles,NA,78034.73,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Reptiles,NA,13596.96,1,3,3,2,1,0,NA,0,-0.1638258,-0.122832
NA,Reptiles,NA,52247.8,1,3,3,2,1,0,NA,0,-0.1638258,-0.122832
NA,Reptiles,NA,40237.55,1,9,2,2,1,0,NA,0,-0.1638258,-0.122832
NA,Reptiles,NA,5911.722,1,9,2,2,1,1,NA,0,-0.1638258,-0.122832
NA,Reptiles,NA,1773.517,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Amphibians,NA,13005.79,1,5,3,1,2,1,NA,0,-0.1638258,-0.122832
NA,Amphibians,NA,30606.17,1,2,3,2,2,1,NA,0,-0.1638258,-0.122832
NA,Amphibians,NA,144786.4,1,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Fishes,NA,28376.27,NA,15,1,2,1,0,NA,0,-0.1638258,-0.122832
NA,Fishes,NA,211707485,NA,1,3,2,3,NA,NA,0,-0.1638258,-0.122832
NA,Fishes,NA,31614692,NA,1,3,2,3,NA,NA,0,-0.1638258,-0.122832
NA,Fishes,NA,50530162,NA,1,3,2,3,NA,NA,0,-0.1638258,-0.122832
NA,Fishes,NA,161166673,NA,1,3,2,3,NA,NA,0,-0.1638258,-0.122832
NA,Fishes,NA,63255.43,NA,15,1,2,1,0,NA,0,-0.1638258,-0.122832
NA,Fishes,NA,18916326,NA,1,3,2,3,NA,NA,0,-0.1638258,-0.122832
NA,Plants,NA,4729.378,1,11,2,1,2,1,NA,0,-0.1638258,-0.122832
NA,Plants,NA,1891.751,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,12414.62,1,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,14244.89,1,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,4256.44,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,1182.344,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,16552.82,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,3074.096,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,4729.378,1,14,1,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,3074.096,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,26602.75,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,2955.861,1,14,1,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,6502.894,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
